Title,DetailType,PlayTime,StartHour,EndHour,DayNightType,PlayTimeSummary,condition1,condition2
게임문화축제,e스포츠 대회,10:00~19:00,10,19,낮 중심,"운영시간 10:00~19:00 (총 9시간, 낮 8h, 밤 1h) → 낮 중심",실내,"낮,밤"
"겨울, 청계천의 빛",불꽃/빛 축제,18:00~22:00,18,22,밤 중심,"운영시간 18:00~22:00 (총 4시간, 낮 0h, 밤 4h) → 밤 중심",겨울,밤
겨울공주 군밤축제,농산물 축제,11:00~20:00,11,20,낮 중심,"운영시간 11:00~20:00 (총 9시간, 낮 7h, 밤 2h) → 낮과 밤 모두 운영",겨울,"낮,밤"
겨울엔 양평,지역 상권,두달간 상시,,,정보 없음,정보 부족,겨울,"낮,밤"
겸재문화예술제,복합 문화 예술,10:00~17:00,10,17,낮 중심,"운영시간 10:00~17:00 (총 7시간, 낮 7h, 밤 0h) → 낮 중심","봄,가을",낮
경기 다독다독 축제,문학/책 축제,10:00~17:00,10,17,낮 중심,"운영시간 10:00~17:00 (총 7시간, 낮 7h, 밤 0h) → 낮 중심","봄, 가을",낮
"경기도 문화사계 ""여름"" 경기바다 드론쇼",불꽃/빛 축제,11:00~23:00,11,23,낮·밤 혼합,"운영시간 11:00~23:00 (총 12시간, 낮 7h, 밤 5h) → 낮과 밤 모두 운영","여름, 바다","낮,밤"
경기미 김밥페스타,음식/요리 축제,11:00~17:00,11,17,낮 중심,"운영시간 11:00~17:00 (총 6시간, 낮 6h, 밤 0h) → 낮 중심","봄,가을",낮
경기미디저트페스타,음식/요리 축제,10:00~17:00,10,17,낮 중심,"운영시간 10:00~17:00 (총 7시간, 낮 7h, 밤 0h) → 낮 중심","봄,가을",낮
경남고성공룡세계엑스포,생태 교육,"월~금: 09:00 ~ 18:00 토,일 10/7, 10/8 : 09:00 ~ 22:00",9,18,낮 중심,"운영시간 9:00~18:00 (총 9시간, 낮 9h, 밤 0h) → 낮 중심","봄,가을",낮
경남콘텐츠페어,복합 문화 예술,11:00~18:00,11,18,낮 중심,"운영시간 11:00~18:00 (총 7시간, 낮 7h, 밤 0h) → 낮 중심","봄,가을",낮
경복궁 별빛야행,문화재 야행,1부 - 18:30~20:20 / 2부 - 19:40~21:30,18,20,밤 중심,"운영시간 18:00~20:00 (총 2시간, 낮 0h, 밤 2h) → 밤 중심","봄,가을",밤
경북 K-스토리 페스티벌,복합 문화 예술,11:00~19:00,11,19,낮 중심,"운영시간 11:00~19:00 (총 8시간, 낮 7h, 밤 1h) → 낮 중심","봄,가을","낮,밤"
경북 WOW(와)보이소,지역 상권,15:00~21:00,15,21,낮·밤 혼합,"운영시간 15:00~21:00 (총 6시간, 낮 3h, 밤 3h) → 낮과 밤 모두 운영","봄,가을","낮,밤"
경북영주 풍기인삼축제,농산물 축제,10:00~22:00,10,22,낮 중심,"운영시간 10:00~22:00 (총 12시간, 낮 8h, 밤 4h) → 낮과 밤 모두 운영",가을,"낮,밤"
경산 갓바위소원성취축제,사찰 문화,갓바위 주차장(9.26.~9.28. 3일간) : 10:00~18:00 / 와촌면민운동장(9.26.~9.27 2일간) : 10:00~21:00,10,18,낮 중심,"운영시간 10:00~18:00 (총 8시간, 낮 8h, 밤 0h) → 낮 중심","봄,가을",낮
경산 대추축제 & 농산물 한마당,농산물 축제,11:00~21:00,11,21,낮 중심,"운영시간 11:00~21:00 (총 10시간, 낮 7h, 밤 3h) → 낮과 밤 모두 운영",가을,"낮,밤"
경산자인단오제,전통 의례/행사,10:00~20:30,10,20,낮 중심,"운영시간 10:00~20:00 (총 10시간, 낮 8h, 밤 2h) → 낮과 밤 모두 운영",여름,"낮,밤"
경산카페축제,커피/차 축제,10:00~22:00,10,22,낮 중심,"운영시간 10:00~22:00 (총 12시간, 낮 8h, 밤 4h) → 낮과 밤 모두 운영",가을,"낮,밤"
경상북도 국제 AI·메타버스영화제,영화/영상 축제,16:00~21:00,16,21,밤 중심,"운영시간 16:00~21:00 (총 5시간, 낮 2h, 밤 3h) → 낮과 밤 모두 운영","봄,가을","낮,밤"
경상북도사과홍보행사,농산물 축제,"1,2일차 10:00 ~ 17:00 / 3일차 10:00 ~ 12:00",10,17,낮 중심,"운영시간 10:00~17:00 (총 7시간, 낮 7h, 밤 0h) → 낮 중심",가을,낮
경주 대릉원돌담길 축제,꽃 축제,13:00 ~ 22:00,13,22,낮·밤 혼합,"운영시간 13:00~22:00 (총 9시간, 낮 5h, 밤 4h) → 낮과 밤 모두 운영",봄,"낮,밤"
경주국가유산야행,문화재 야행,18:00~23:00,18,23,밤 중심,"운영시간 18:00~23:00 (총 5시간, 낮 0h, 밤 5h) → 밤 중심","봄,가을",밤
경춘선 공릉숲길 커피축제,커피/차 축제,11:00~20:30(일 11:00~20:00),11,20,낮 중심,"운영시간 11:00~20:00 (총 9시간, 낮 7h, 밤 2h) → 낮과 밤 모두 운영","가을,숲길","낮,밤"
계양 문화유산 야행,문화재 야행,18:00~22:00,18,22,밤 중심,"운영시간 18:00~22:00 (총 4시간, 낮 0h, 밤 4h) → 밤 중심","봄,가을",밤
계양아라온워터축제,카약/래프팅,11:00~18:00 (휴게시간 : 13:00~14:00),11,18,낮 중심,"운영시간 11:00~18:00 (총 7시간, 낮 7h, 밤 0h) → 낮 중심",여름,낮
계촌 휴休콘서트,음악 축제,12:00~16:30,12,16,낮 중심,"운영시간 12:00~16:00 (총 4시간, 낮 4h, 밤 0h) → 낮 중심","봄,가을",낮
고니골빛축제,불꽃/빛 축제,13:00~20:00,13,20,낮 중심,"운영시간 13:00~20:00 (총 7시간, 낮 5h, 밤 2h) → 낮과 밤 모두 운영","가을,겨울","낮,밤"
고령대가야축제,역사 재현,10:00~22:00,10,22,낮 중심,"운영시간 10:00~22:00 (총 12시간, 낮 8h, 밤 4h) → 낮과 밤 모두 운영","봄, 야외","낮,밤"
고마로馬문화축제,지역 고유 전통,10:00~17:00,10,17,낮 중심,"운영시간 10:00~17:00 (총 7시간, 낮 7h, 밤 0h) → 낮 중심","봄,가을",낮
고메 잇 강남 서울야장,길거리 음식,11:00~23:30,11,23,낮·밤 혼합,"운영시간 11:00~23:00 (총 12시간, 낮 7h, 밤 5h) → 낮과 밤 모두 운영","가을, 도심","낮,밤"
고싸움놀이축제,민속놀이,10:00~20:00,10,20,낮 중심,"운영시간 10:00~20:00 (총 10시간, 낮 8h, 밤 2h) → 낮과 밤 모두 운영","겨울, 봄","낮,밤"
고양 동물교감치유 문화제,생태 체험,10:00~17:00,10,17,낮 중심,"운영시간 10:00~17:00 (총 7시간, 낮 7h, 밤 0h) → 낮 중심","봄,가을",낮
고양가을꽃축제,꽃 축제,09:00~18:00,9,18,낮 중심,"운영시간 9:00~18:00 (총 9시간, 낮 9h, 밤 0h) → 낮 중심",가을,낮
고양국제꽃박람회,꽃 축제,09:00 ~ 19:00,9,19,낮 중심,"운영시간 9:00~19:00 (총 10시간, 낮 9h, 밤 1h) → 낮 중심",봄,낮
고양행주문화제,역사 재현,11:00~21:00,11,21,낮 중심,"운영시간 11:00~21:00 (총 10시간, 낮 7h, 밤 3h) → 낮과 밤 모두 운영",가을,"낮,밤"
고양행주한우 숯불구이축제,기타 특산물,11:00~20:00(일 11:00~ 17:00),11,20,낮 중심,"운영시간 11:00~20:00 (총 9시간, 낮 7h, 밤 2h) → 낮과 밤 모두 운영","봄,가을","낮,밤"
고양호수예술축제,다원 예술,14:00 - 21:00,14,21,낮·밤 혼합,"운영시간 14:00~21:00 (총 7시간, 낮 4h, 밤 3h) → 낮과 밤 모두 운영","가을, 호수","낮,밤"
고창 벚꽃축제,꽃 축제,10:00 ~ 22:00,10,22,낮 중심,"운영시간 10:00~22:00 (총 12시간, 낮 8h, 밤 4h) → 낮과 밤 모두 운영",봄,"낮,밤"
고창 복분자와 수박축제,농산물 축제,10:00~20:00,10,20,낮 중심,"운영시간 10:00~20:00 (총 10시간, 낮 8h, 밤 2h) → 낮과 밤 모두 운영",여름,"낮,밤"
고창갯벌축제,생태 체험,11:00~19:30 (조개체험가능시간 : 09:00~13:00(예정)),11,19,낮 중심,"운영시간 11:00~19:00 (총 8시간, 낮 7h, 밤 1h) → 낮 중심",여름,"낮,밤"
고창국가유산야행,문화재 야행,18:00~22:00,18,22,밤 중심,"운영시간 18:00~22:00 (총 4시간, 낮 0h, 밤 4h) → 밤 중심","봄,가을",밤
고창모양성제,역사 재현,10:00~22:00,10,22,낮 중심,"운영시간 10:00~22:00 (총 12시간, 낮 8h, 밤 4h) → 낮과 밤 모두 운영",가을,"낮,밤"
고창청보리밭 축제,꽃 축제,10:00 ~ 18:00,10,18,낮 중심,"운영시간 10:00~18:00 (총 8시간, 낮 8h, 밤 0h) → 낮 중심",봄,낮
고흥우주항공축제,과학 체험,10:00~18:00,10,18,낮 중심,"운영시간 10:00~18:00 (총 8시간, 낮 8h, 밤 0h) → 낮 중심","봄,가을",낮
고흥유자축제,농산물 축제,10:00~21:00,10,21,낮 중심,"운영시간 10:00~21:00 (총 11시간, 낮 8h, 밤 3h) → 낮과 밤 모두 운영","가을, 겨울","낮,밤"
곡성세계장미축제,꽃 축제,08:00~22:00,8,22,낮 중심,"운영시간 8:00~22:00 (총 14시간, 낮 10h, 밤 4h) → 낮과 밤 모두 운영","봄,꽃","낮,밤"
곡성심청어린이대축제,시민 참여,9:00~22:00,9,22,낮 중심,"운영시간 9:00~22:00 (총 13시간, 낮 9h, 밤 4h) → 낮과 밤 모두 운영","봄,가을","낮,밤"
골체오름 벚꽃축제,꽃 축제,11:00~20:00,11,20,낮 중심,"운영시간 11:00~20:00 (총 9시간, 낮 7h, 밤 2h) → 낮과 밤 모두 운영",봄,"낮,밤"
공공미술 빛조각축제 <노원 달빛산책>,복합 문화 예술,18:00~22:00,18,22,밤 중심,"운영시간 18:00~22:00 (총 4시간, 낮 0h, 밤 4h) → 밤 중심",가을,밤
공공한옥 밤마실,문화재 야행,10:00~22:00 (날짜별 상이),10,22,낮 중심,"운영시간 10:00~22:00 (총 12시간, 낮 8h, 밤 4h) → 낮과 밤 모두 운영","봄,가을","낮,밤"
공근 소맥축제,음식/요리 축제,16:00~22:00,16,22,밤 중심,"운영시간 16:00~22:00 (총 6시간, 낮 2h, 밤 4h) → 낮과 밤 모두 운영","여름,가을","낮,밤"
"공존의 섬, 격렬비열도",생태 체험,09:30~18:00,9,18,낮 중심,"운영시간 9:00~18:00 (총 9시간, 낮 9h, 밤 0h) → 낮 중심","봄, 가을, 섬, 자연",낮
공주 석장리 구석기축제,역사 교육,10:00~19:00,10,19,낮 중심,"운영시간 10:00~19:00 (총 9시간, 낮 8h, 밤 1h) → 낮 중심","봄,가을","낮,밤"
공주 유구 색동수국정원 꽃 축제,꽃 축제,10:00~ 21:00,10,21,낮 중심,"운영시간 10:00~21:00 (총 11시간, 낮 8h, 밤 3h) → 낮과 밤 모두 운영",여름,"낮,밤"
공주야밤 맥주축제,맥주/와인 축제,19:00~23:00,19,23,밤 중심,"운영시간 19:00~23:00 (총 4시간, 낮 0h, 밤 5h) → 밤 중심",여름,밤
공주에서 날밤까기,캠핑/백패킹,19:00 ~ 11:00(익일),19,35,밤 중심,"운영시간 19:00~11:00 (총 16시간, 낮 0h, 밤 17h) → 밤 중심","봄,가을","밤,심야"
공지천 팝업 페스타,거리 예술,12:00 ~ 18:00,12,18,낮 중심,"운영시간 12:00~18:00 (총 6시간, 낮 6h, 밤 0h) → 낮 중심","봄,가을",낮
과천청년축제,커뮤니티 행사,13:00~22:00,13,22,낮·밤 혼합,"운영시간 13:00~22:00 (총 9시간, 낮 5h, 밤 4h) → 낮과 밤 모두 운영","봄,가을","낮,밤"
관악강감찬축제,역사 인물 기념,12:00~21:00,12,21,낮 중심,"운영시간 12:00~21:00 (총 9시간, 낮 6h, 밤 3h) → 낮과 밤 모두 운영","봄,가을","낮,밤"
관악별빛산책,불꽃/빛 축제,매일 일몰 후~23시 (※상황에 따라 운영시간 조정가능),,,정보 없음,정보 부족,"가을,겨울",밤
광명동굴 대한민국 와인 페스티벌,맥주/와인 축제,11:00~18:00,11,18,낮 중심,"운영시간 11:00~18:00 (총 7시간, 낮 7h, 밤 0h) → 낮 중심","가을, 동굴 내부",낮
광명시 청소년의 달 기념행사 오월의 난장,커뮤니티 행사,16:30~21:00,16,21,밤 중심,"운영시간 16:00~21:00 (총 5시간, 낮 2h, 밤 3h) → 낮과 밤 모두 운영",봄,"낮,밤"
광무대 목요풍류,전통 공예/예술,매주 목요일 19:00,,,정보 없음,정보 부족,"봄,여름,가을","낮,밤"
광복 80년 기념 빛 축제,미디어 아트,20:00~22:00,20,22,밤 중심,"운영시간 20:00~22:00 (총 2시간, 낮 0h, 밤 4h) → 밤 중심",여름,밤
광복 80년 전야제 - 대한이 살았다!,음악 축제,20:15~ 22:45,20,22,밤 중심,"운영시간 20:00~22:00 (총 2시간, 낮 0h, 밤 4h) → 밤 중심",여름,밤
광복 80주년 기념 '강제동원 희생자의 길을 걷다',유적 탐방,09:00~16:00,9,16,낮 중심,"운영시간 9:00~16:00 (총 7시간, 낮 7h, 밤 0h) → 낮 중심",여름,낮
광복 80주년 서울시 기념사업,역사 인물 기념,12:00~20:00,12,20,낮 중심,"운영시간 12:00~20:00 (총 8시간, 낮 6h, 밤 2h) → 낮과 밤 모두 운영",여름,"낮,밤"
광안리 M(Marvelous) 드론 라이트쇼,불꽃/빛 축제,"- 하절기(3월~9월) 20:00, 22:00- 동절기(10월~2월) 19:00, 21:00",,,정보 없음,정보 부족,"사계절, 해변/바다",밤
광안리어방축제,지역 고유 전통,10:00~22:00,10,22,낮 중심,"운영시간 10:00~22:00 (총 12시간, 낮 8h, 밤 4h) → 낮과 밤 모두 운영","봄, 바닷가","낮,밤"
광양 매화축제,꽃 축제,07:00 ~ 18:00,7,18,낮 중심,"운영시간 7:00~18:00 (총 11시간, 낮 11h, 밤 0h) → 낮 중심",봄,낮
광주 버스킹 월드컵,음악 축제,11:00~22:00,11,22,낮 중심,"운영시간 11:00~22:00 (총 11시간, 낮 7h, 밤 4h) → 낮과 밤 모두 운영","봄,가을","낮,밤"
광주 추억의 충장축제,거리 퍼레이드,14:00~22:00,14,22,낮·밤 혼합,"운영시간 14:00~22:00 (총 8시간, 낮 4h, 밤 4h) → 낮과 밤 모두 운영",가을,"낮,밤"
광주국가유산야행,문화재 야행,17:00~22:00,17,22,밤 중심,"운영시간 17:00~22:00 (총 5시간, 낮 1h, 밤 4h) → 밤 중심","봄,가을","낮,밤"
광주국제미술전람회 〈아트광주24〉,미술/조각,10.10(목) 14:00 - 19:00 10.11-12(금-토) 10:30 - 19:00 10.13(일) 10:30 - 18:00,14,19,낮 중심,"운영시간 14:00~19:00 (총 5시간, 낮 4h, 밤 1h) → 낮 중심","봄,가을","낮,밤"
광주김치축제,음식/요리 축제,10:00~20:00,10,20,낮 중심,"운영시간 10:00~20:00 (총 10시간, 낮 8h, 밤 2h) → 낮과 밤 모두 운영","가을,겨울","낮,밤"
광주사운드파크페스티벌,음악 축제,16:00~21:00,16,21,밤 중심,"운영시간 16:00~21:00 (총 5시간, 낮 2h, 밤 3h) → 낮과 밤 모두 운영",여름,"낮,밤"
광주서창억새축제,꽃 축제,13:00 ~ 18:00,13,18,낮 중심,"운영시간 13:00~18:00 (총 5시간, 낮 5h, 밤 0h) → 낮 중심",가을,낮
광주시 남한산성문화제,역사 재현,11:00~21:00,11,21,낮 중심,"운영시간 11:00~21:00 (총 10시간, 낮 7h, 밤 3h) → 낮과 밤 모두 운영",가을,"낮,밤"
광주여성영화제,영화/영상 축제,nan,,,정보 없음,정보 부족,"봄,가을","낮,밤"
광주왕실도자페스티벌,도예/목공예,10:00~18:00,10,18,낮 중심,"운영시간 10:00~18:00 (총 8시간, 낮 8h, 밤 0h) → 낮 중심","봄,가을",낮
광주티앤카페쇼,커피/차 축제,10:00~17:00,10,17,낮 중심,"운영시간 10:00~17:00 (총 7시간, 낮 7h, 밤 0h) → 낮 중심","봄,가을",낮
광진 생활문화예술축제,시민 참여,13:00~20:00,13,20,낮 중심,"운영시간 13:00~20:00 (총 7시간, 낮 5h, 밤 2h) → 낮과 밤 모두 운영","봄,가을","낮,밤"
괴산고추축제,농산물 축제,09:00~22:00,9,22,낮 중심,"운영시간 9:00~22:00 (총 13시간, 낮 9h, 밤 4h) → 낮과 밤 모두 운영",가을,"낮,밤"
괴산김장축제,농촌 체험,10:00~20:00,10,20,낮 중심,"운영시간 10:00~20:00 (총 10시간, 낮 8h, 밤 2h) → 낮과 밤 모두 운영","가을,겨울","낮,밤"
괴산빨간맛페스티벌,음식/요리 축제,10:00~20:00,10,20,낮 중심,"운영시간 10:00~20:00 (총 10시간, 낮 8h, 밤 2h) → 낮과 밤 모두 운영",가을,"낮,밤"
구례300리 벚꽃축제,꽃 축제,09:00~18:00,9,18,낮 중심,"운영시간 9:00~18:00 (총 9시간, 낮 9h, 밤 0h) → 낮 중심",봄,낮
구례산수유꽃축제,꽃 축제,09:00~18:00,9,18,낮 중심,"운영시간 9:00~18:00 (총 9시간, 낮 9h, 밤 0h) → 낮 중심",봄,낮
구로G페스티벌,시민 참여,10:00~22:00,10,22,낮 중심,"운영시간 10:00~22:00 (총 12시간, 낮 8h, 밤 4h) → 낮과 밤 모두 운영","봄,가을","낮,밤"
구로청소년축제,커뮤니티 행사,11:00~18:00,11,18,낮 중심,"운영시간 11:00~18:00 (총 7시간, 낮 7h, 밤 0h) → 낮 중심","봄,가을",낮
구리 유채꽃 축제,꽃 축제,10:00~21:30,10,21,낮 중심,"운영시간 10:00~21:00 (총 11시간, 낮 8h, 밤 3h) → 낮과 밤 모두 운영","봄, 꽃밭","낮,밤"
구리 코스모스 축제,꽃 축제,10:00~21:30,10,21,낮 중심,"운영시간 10:00~21:00 (총 11시간, 낮 8h, 밤 3h) → 낮과 밤 모두 운영",가을,"낮,밤"
