FestivalName,ConditionName,ConditionDesc,camera_angle
19금 신비파티 in 서초,도심 속 비밀 가든 파티,"번화한 상점가 골목 안, 비밀스럽게 숨겨진 듯한 야외 공간에서 펼쳐지는 성인들을 위한 파티. 따뜻한 간접 조명과 부드러운 컬러 조명이 어우러져 아늑하고 고급스러운 분위기를 자아낸다. 화려함보다는 절제된 아름다움이 강조되며, 와인 잔을 기울이거나 깊은 대화를 나누는 사람들의 모습에서 프라이빗하고 세련된 즐거움이 느껴지는 야경을 담아낸다.",ground-level
19금 신비파티 in 서초,사이버펑크 서초 야상곡,"서초의 현대적인 도심 상점가를 배경으로, 차갑고 강렬한 푸른색, 보라색, 핑크색 계열의 네온사인과 홀로그램 간판이 주를 이루는 야경. 비에 젖어 빛을 반사하는 거리가 도회적이고 미래지향적인 분위기를 더한다. 상권의 활기찬 에너지를 고도로 스타일리시하고 어딘가 비현실적인 느낌으로 재해석하며, 익명적이면서도 개성 강한 인물들이 교차하는 모습을 그린다.",ground-level
2023 부산 정원박람회,Dramatic Illumination,"강렬한 스포트라이트가 개별 디자인 작품과 공예품의 질감과 형태를 극적으로 부각시키며, 그림자와 빛의 대비를 통해 작품에 깊이와 시선을 집중시키는 연출. 주변 도시의 빛은 배경으로 흐리게 처리되어 오직 작품만이 주인공이 되는 현대적이고 세련된 야경 분위기를 강조합니다.",ground-level
2023 부산 정원박람회,Ambient Glow,"부드러운 간접 조명과 은은한 주변광이 전시장 전체를 감싸, 작품과 작품, 그리고 관람객이 유기적으로 연결되는 포근하고 아늑한 분위기를 연출합니다. 다채로운 색감의 굿즈와 전시 공간의 색감이 자연스럽게 어우러져 편안하면서도 문화 예술 축제의 세련된 밤 풍경을 표현합니다.",indoor
2023 부산 정원박람회,Urban Oasis,"현대적인 도시 건축물과 녹음이 어우러진 공간에 디자인/공예 작품이 전시된 장면. 작품 주변으로는 소규모 정원이나 식물 오브제가 배치되어 '정원박람회'의 테마를 은유적으로 표현하며, 도시의 밤 조명과 자연의 푸르름이 대비를 이루는 세련되고 감각적인 문화 예술 축제 분위기를 자아냅니다.",ground-level
2023 부산 정원박람회,Vibrant Cultural Hub,"수많은 관람객들이 다채로운 굿즈와 작품 사이를 활기차게 오가며 소통하는 장면. 전시 공간은 사람들의 움직임과 웃음소리로 가득 차 있으며, 조명은 이러한 활기찬 에너지에 맞춰 동적이고 변화무쌍한 색감을 더해 축제의 역동성과 풍부한 문화 예술적 교류를 강조하는 야경을 연출합니다.",indoor
2023 전남국제수묵비엔날레,도심 속 현대 미술의 밤,"현대적인 미술관 건축물의 세련된 선과 도심 야경의 반짝이는 빛이 조화롭게 어우러집니다. 다채로운 작품들은 간결하고 명확한 스포트라이트를 받아 더욱 선명하게 부각되며, 전체적으로는 차분하면서도 활기찬 도시의 문화적인 밤을 표현합니다.",indoor
2023 전남국제수묵비엔날레,"수묵의 숨결, 빛으로 물들다","'수묵'이라는 키워드를 시각적으로 해석합니다. 빛은 은은하게 번지듯 작품에 스며들고, 마치 농담(濃淡)처럼 빛과 그림자가 섬세하게 대비됩니다. 따뜻한 톤의 간접 조명과 부드러운 스포트라이트가 작품의 질감과 깊이를 강조하며, 고요하고 사색적인 분위기를 연출합니다. 관람객의 실루엣은 예술에 몰입하는 듯 표현됩니다.",indoor
2023 전남국제수묵비엔날레,빛과 색채의 향연,"작품들이 지닌 다채로운 색감을 극대화하고, 다양한 각도와 색온도의 스포트라이트가 역동적으로 쏟아집니다. 빛이 캔버스 위에서 춤추듯 강렬한 대비를 이루며, 관람객들의 활기찬 움직임과 작품에 대한 경외심이 느껴지는 생동감 넘치는 장면을 연출합니다. 도심의 배경은 활기찬 에너지를 더합니다.",indoor
2023 제20회 대한민국향토식문화대전(&남북음식문화축제),전통 시장의 미식 야행,"고즈넉한 전통 시장 골목을 배경으로, 목조 부스와 천막 아래에서 은은한 주황색 조명이 흘러나와 정겹고 아늑한 분위기를 연출합니다. 각 부스에서는 지역 특색이 담긴 향토 음식들이 김을 모락모락 내뿜고, 한복을 입거나 편안한 차림의 사람들이 북적이며 오랜 추억 속 야시장의 풍경을 현대적으로 재해석합니다.",ground-level
2023 제20회 대한민국향토식문화대전(&남북음식문화축제),도심 광장의 퓨전 다이닝,"현대적인 도심 광장을 무대로, 화려한 네온사인과 밝은 LED 조명으로 장식된 푸드 트럭들이 역동적으로 배치되어 있습니다. 남북한의 독특한 요리들이 퓨전 스타일로 재해석되어 젊은 세대의 호응을 얻고, 비비드한 컬러 팔레트와 활기찬 음악이 어우러져 트렌디하고 에너지 넘치는 축제의 밤을 선사합니다.",ground-level
2023 제20회 대한민국향토식문화대전(&남북음식문화축제),미식 경연의 밤,"중앙 무대에 설치된 대형 스크린과 스포트라이트 아래, 전문 셰프들이 각 지역의 식재료로 예술적인 요리를 선보이는 경연 장면이 부각됩니다. 관중들은 기대감에 찬 표정으로 요리 과정을 지켜보고, 심사위원들은 진지하게 맛을 평가합니다. 조명은 요리와 셰프에게 집중되어 드라마틱하고 긴장감 넘치는 분위기를 연출하며, 음식의 디테일이 강조된 클로즈업 샷이 인상적입니다.",indoor
2024 G-KPOP 콘서트,팬덤 웨이브 (Fandom Wave),수많은 관객들이 특정 아티스트의 상징색 응원봉을 들고 일제히 흔들며 만들어내는 빛의 파도에 초점. 무대 조명이 관객의 열기와 어우러져 역동적이고 통일된 팬덤의 에너지를 시각적으로 극대화.,aerial
2024 G-KPOP 콘서트,사이버펑크 네온 스펙트럼 (Cyberpunk Neon Spectrum),"도시의 고층 빌딩과 미래적인 구조물들을 배경으로, 무대 조명이 극도로 선명하고 강렬한 네온 컬러의 레이저와 홀로그램 효과를 중심으로 펼쳐지는 장면. 블루, 퍼플, 시안 계열의 차가운 빛이 스모그와 결합하여 환상적이고 미래적인 분위기를 연출.",aerial
2024 G-KPOP 콘서트,별빛 아래 심포니 (Starlight Symphony),"광활한 자연 속 야외 무대에서, 맑은 밤하늘의 무수히 많은 별빛이 무대 조명과 어우러져 웅장하고 서정적인 분위기를 연출. 따뜻한 톤의 스포트라이트와 부드러운 레이저가 자연의 아름다움과 음악의 감동을 조화롭게 표현.",aerial
2024 JOCHIWON FILM ROMANCE,환경 배경 전환 (Environmental Backdrop Shift),"현대적인 도시 스카이라인의 불빛이 반짝이는 배경과, 잔잔한 파도가 이는 고요한 바닷가 배경 중 하나를 선택하여 축제가 펼쳐지는 야경의 전체적인 분위기와 공간감을 다르게 연출합니다.",aerial
2024 JOCHIWON FILM ROMANCE,조명 색채의 감정선 (Emotional Spectrum of Lighting),"스크린에서 발산되는 황금빛과 푸른빛 조명 중 어느 한 색상을 지배적으로 강조하여, 축제의 밤에 로맨틱하고 따뜻한 분위기 또는 몽환적이고 신비로운 분위기를 다채롭게 표현합니다.",ground-level
2024 JOCHIWON FILM ROMANCE,관객 시점과 밀도 (Audience Perspective & Density),"스크린을 향한 관객들의 실루엣을 전경에 밀도 높게 배치하여 축제의 북적이는 활기를 강조하거나, 관객 군중을 은은하게 배경 처리하고 특정 인물의 뒷모습이나 측면에 초점을 맞춰 더욱 시네마틱하고 서정적인 개인의 몰입감을 부각합니다.",ground-level
2024 K-뮤지컬국제마켓,화려한 쇼케이스 광채,"극도로 선명하고 화려한 무대 조명이 배우와 인형들의 역동적인 공연에 집중됩니다. 강렬한 스포트라이트와 풍부한 색감의 조명이 무대 위 인물들의 표정과 의상, 움직임을 섬세하게 부각시키며, 마치 뮤지컬의 가장 절정인 한 장면을 클로즈업한 듯한 웅장하고 압도적인 분위기를 연출합니다.",indoor
2024 K-뮤지컬국제마켓,도심 속 환상 등불,"축제장을 감싸는 전통 등불(예: 한지 등불)의 부드럽고 따스한 빛이 도시의 현대적인 네온사인 및 건물 불빛과 조화롭게 어우러져 환상적인 색감의 야경을 만들어냅니다. 공연 무대는 배경처럼 넓은 시야에서 조화로운 빛의 일부를 이루며, 전통과 현대, 꿈과 현실이 공존하는 마법 같은 축제 공간 전체의 분위기에 초점을 맞춥니다.",aerial
2024 K-뮤지컬국제마켓,관객 열기 속 몰입,"열광하는 관객들의 시선과 열기를 중심으로 장면이 구성됩니다. 무대 조명이 관객들의 얼굴에 반사되어 빛나는 모습, 환호하는 손들과 흔들리는 응원봉, 스마트폰 불빛 등이 어우러져 역동적인 에너지를 표현합니다. 관객의 시선에서 바라보는 무대 위 공연은 꿈과 상상력이 피어나는 마법 같은 경험으로 다가오며, 축제에 함께 참여하는 듯한 몰입감과 생동감을 강조합니다.",ground-level
2024 K-뮤직 시즌 ‘굿밤 콘서트 in 부산’,부산 도심의 열기,"부산의 현대적인 마천루가 배경으로 펼쳐진 도심 속 축제 야경. 빌딩 숲 사이로 뿜어져 나오는 다채로운 무대 조명과 레이저가 밤하늘을 가르며, 도시의 불빛과 어우러져 더욱 역동적이고 세련된 K-뮤직의 활기찬 에너지를 표현합니다.",aerial
2024 K-뮤직 시즌 ‘굿밤 콘서트 in 부산’,광안리 해변의 찬란함,"광안대교의 야경과 부드러운 파도 소리가 어우러진 해변 콘서트 풍경. 무대에서 뿜어져 나오는 화려한 조명과 레이저가 바다 위로 펼쳐지며, 시원한 밤바람과 함께 낭만적이면서도 열정적인 해변 축제의 분위기를 강조합니다.",aerial
2024 K-뮤직 시즌 ‘굿밤 콘서트 in 부산’,굿밤 콘서트의 클라이맥스,"축제의 절정에 다다른 순간, 메인 아티스트의 공연과 함께 터져 나오는 불꽃놀이와 최고조에 달한 레이저 쇼가 밤하늘을 압도하는 장면. 관객들의 열광적인 환호와 손에 든 응원봉들이 거대한 빛의 물결을 이루며, 축제의 뜨거운 에너지를 극대화하여 시각적으로 표현합니다.",aerial
2024 강남디자인위크,스포트라이트 강조,"전시된 디자인 작품과 공예품 하나하나에 강렬하고 예리한 스포트라이트가 집중되어 작품의 디테일과 질감을 극적으로 부각시키며, 전체적인 분위기는 갤러리처럼 정돈되고 몰입감 있게 연출됩니다. 그림자와 빛의 대비가 강조됩니다.",indoor
2024 강남디자인위크,앰비언트 글로우,"작품 주변에 은은하고 따뜻한 간접 조명이 주를 이루어, 부드러운 빛이 공간 전체를 감싸는 듯한 포근하고 세련된 분위기를 연출합니다. 작품과 관객이 자연스럽게 어우러지며, 조명 자체보다는 축제의 활기찬 에너지와 소셜 인터랙션에 초점을 맞춥니다.",indoor
2024 강남디자인위크,도시 경관과의 조화,"축제 공간이 도시의 고층 빌딩, 번화한 거리의 네온사인 등 야경과 유기적으로 어우러져, 작품들이 도시의 활기찬 에너지 속에서 빛나는 듯한 개방적이고 다이내믹한 장면을 연출합니다. 도시의 요소들이 배경을 넘어 축제의 일부처럼 느껴집니다.",aerial
2024 강릉 K-SUP CUP,**Urban Neon Symphony**,"강조된 도시의 네온사인과 고층 빌딩의 불빛이 물 위에 더욱 선명하고 다채롭게 반사되어, 도시의 활기와 물결의 조화로운 움직임을 표현한다. 푸른색과 보라색 외에 도시의 다채로운 조명색(노란색, 빨간색 등)이 은은하게 추가되어 미래 도시의 복합적인 아름다움을 강조한다.",aerial
2024 강릉 K-SUP CUP,**Dynamic Aqua Flow**,"물 위에서 펼쳐지는 수상 스포츠 활동에 더욱 집중하여, 패들보드와 요트의 역동적인 움직임과 그로 인해 생기는 물보라, 물결의 에너지를 강조한다. 보트 조명의 빛줄기가 물 속을 가로지르며 빛과 그림자의 대비를 극대화하고, 인물들의 실루엣은 더욱 선명하고 활기찬 포즈로 표현된다.",ground-level
2024 강릉 K-SUP CUP,**Ethereal Twilight Glow**,"도시의 야경은 배경으로 은은하게 처리하고, 물 위의 네온 조명과 보트 조명이 만들어내는 푸른색과 보라색 그라데이션에 집중한다. 수면은 더욱 잔잔하고 매끄럽게 표현되어 빛의 번짐과 환상적인 분위기를 극대화하며, 인물들은 최소화된 움직임으로 정적인 아름다움과 미래적인 평온함을 연출한다.",ground-level
2024 강천산 산들바람 맨발트래킹,달빛 머금은 고요 (Moonlit Serenity),"밝은 보름달이 숲 속 깊은 곳까지 은은하고 푸른빛을 드리워 넓은 트레킹 코스를 비추는 장면. 별빛은 희미하지만, 달빛이 만들어내는 나뭇가지 그림자와 산등성이의 실루엣이 평화롭고 고요한 분위기를 강조하며, 자연의 웅장함을 느끼게 한다.",aerial
2024 강천산 산들바람 맨발트래킹,등불이 비추는 맨발 길 (Lantern-Lit Barefoot Path),"트레킹 코스 양옆으로 놓인 수많은 작은 등불들이 부드럽고 따뜻한 주황빛으로 길을 밝히는 장면. 맨발로 걷는 길의 흙이나 돌멩이 질감이 등불 빛에 의해 섬세하게 드러나며, 참가자들이 발밑에 집중하며 걷는 모습이 돋보인다. 헤드램프의 직접적인 빛과 어우러져 아늑하고 개인적인 몰입감을 선사한다.",ground-level
2024 강천산 산들바람 맨발트래킹,별빛 쏟아지는 신비경 (Stardust Mystique),"달이 보이지 않는 맑은 밤, 하늘 가득 쏟아지는 은하수와 수많은 별들이 트레킹 코스 위로 펼쳐지는 장면. 길은 어둡지만 머리 위로 펼쳐진 밤하늘이 압도적인 신비로움을 선사하며, 소수의 사람들이 고개를 들어 별을 감상하거나 조용히 발걸음을 옮기는 모습이 마치 다른 세계를 걷는 듯한 몽환적인 분위기를 연출한다.",ground-level
2024 과학영재교육 페스티벌,탐구의 불꽃 (Spark of Inquiry),"차가운 계열 조명 속에서도 아이들의 활발한 활동과 호기심 어린 표정에 집중하여, 체험 부스 주변에 은은한 따뜻한 백색광이나 연한 주황색 조명이 더해져 몰입감을 강조하고 학습의 즐거움을 부각시키는 장면. 특정 부스나 인터랙션 지점에 빛이 집중되어 작은 발견의 순간을 따뜻하게 비춘다.",ground-level
2024 과학영재교육 페스티벌,미래도시의 오로라 (Aurora of the Future City),"도시 건물 전체를 감싸는 듯한 대규모 프로젝션 맵핑과 하늘을 가로지르는 강렬하고 역동적인 레이저 쇼가 중심이 되어, 푸른색과 보라색을 넘어선 다채로운 스펙트럼의 빛이 도시 야경과 어우러져 더욱 웅장하고 환상적인 미래 도시의 이미지를 연출하는 장면. 축제장의 전경을 드론 샷으로 담아 압도적인 스케일을 강조한다.",aerial
2024 과학영재교육 페스티벌,미지의 발견 (Discovery of the Unknown),"전반적인 조명은 유지하되, 개별 체험 부스 내부의 미세한 장치들과 아이들의 손끝에서 일어나는 작은 과학적 현상들을 클로즈업하여 보여주는 장면. 신비롭고 집중된 스포트라이트 조명이 작은 발명품이나 실험 도구에 집중되어, 과학의 경이로움과 섬세함을 부각시키며 관람객이 직접 기술의 핵심에 다가가는 듯한 느낌을 준다.",ground-level
2024 국제선명상대회(SEON MEDITATION SUMMIT),별빛 쏟아지는 밤하늘 명상,"푸른 보라색 밤하늘이 더욱 깊고 광활하게 표현되며, 수많은 별들이 반짝인다. 달빛은 더욱 선명하게 대지를 비추고, 고요한 호수 위로 은하수가 흐르는 듯한 장면을 연출한다. 인물들은 우주의 무한함 속에서 자신의 존재를 느끼며 명상하는 모습으로, 영적인 스케일을 강조한다.",aerial
2024 국제선명상대회(SEON MEDITATION SUMMIT),숲속 안식처의 황홀한 빛,"울창한 숲 깊숙한 곳, 나무들이 돔을 형성한 듯한 아늑한 공간을 배경으로 한다. 달빛은 나뭇잎 사이로 부드럽게 스며들고, 따뜻한 주황색 간접 조명이 바닥과 나무줄기를 은은하게 비추어 아늑하고 신비로운 분위기를 연출한다. 인물들은 자연의 품에서 깊은 안식을 얻는 듯한 모습으로 묘사된다.",ground-level
2024 국제선명상대회(SEON MEDITATION SUMMIT),"호수의 반영, 내면의 거울","잔잔한 호수 표면이 완벽한 거울처럼 하늘의 달과 별빛, 그리고 주변의 은은한 조명을 반영한다. 인물들은 호수 가깝거나 수면 위에 설치된 작은 플랫폼에서 명상하며, 물의 반영이 내면의 성찰을 돕는 상징적인 요소로 강조된다. 전체적으로 빛과 그림자의 대비가 더욱 섬세하게 표현되어 고요함과 깊이를 더한다.",ground-level
2024 글로벌 인플루언서 엑스포,포근한 공동체 밤,"부드러운 주황색과 노란색 계열의 따뜻한 조명 아래, 가족 단위 방문객들이 벤치에 앉아 담소를 나누거나 간단한 야외 활동을 즐기는 장면을 강조합니다. 조명은 은은하게 퍼져나가며 공간 전체에 아늑하고 평화로운 분위기를 연출합니다.",ground-level
2024 글로벌 인플루언서 엑스포,활기찬 디지털 스펙트럼,"도시 공원 또는 광장에 설치된 미디어 파사드, LED 스크린, 그리고 역동적인 컬러 조명(마젠타, 시안, 바이올렛 등)이 주를 이룹니다. 젊은 세대와 인플루언서들이 포즈를 취하며 사진을 찍거나, 작은 이벤트 무대 주변에서 활발하게 교류하는 모습이 부각됩니다. 조명은 더욱 선명하고 다채롭게 빛나며 현대적이고 트렌디한 축제 분위기를 강조합니다.",ground-level
2024 글로벌 인플루언서 엑스포,별빛 아래 축제의 밤,하늘에 매달린 수천 개의 작은 전구(페어리 라이트)와 각양각색의 랜턴이 공원 전체를 은하수처럼 수놓습니다. 다양한 연령대의 사람들이 조명 아래 모여 음식을 나누거나 버스킹 공연을 감상하는 등 축제의 본질적인 즐거움을 만끽합니다. 조명은 황금빛과 파스텔 톤이 어우러져 몽환적이면서도 동화 같은 축제 야경을 연출합니다.,aerial
2024 김유정문학촌 주말 상설 공연,환상적인 빛의 변주,"주 조명 및 미디어 파사드의 색상 팔레트와 빛의 움직임을 다채롭게 변경하여, 같은 공간에서도 역동적이거나 몽환적인 분위기를 연출합니다. 푸른 밤 배경에 대비되는 강렬한 색감, 혹은 부드러운 그러데이션을 강조할 수 있습니다.",aerial
2024 김유정문학촌 주말 상설 공연,관객의 시선과 공간의 확장,"축제를 즐기는 다양한 연령대의 군중을 클로즈업하여 생생한 상호작용과 감동을 부각하거나, 넓은 앵글에서 현대 건축물과 공공미술 작품이 뿜어내는 웅장한 빛과 공간감을 강조하여 전체적인 예술적 스케일을 보여줍니다.",ground-level
2024 김유정문학촌 주말 상설 공연,활기찬 영감의 순간,"도시의 활기 넘치는 에너지를 강조하여, 많은 인파가 붐비는 역동적인 장면과 현장의 음악적 요소가 느껴지는 생동감을 표현합니다. 또는 인적이 드문 한적한 순간에 작품 자체에 집중하여, 고요하면서도 깊은 예술적 영감을 주는 분위기를 연출합니다.",ground-level
2024 내나라 여행박람회,다채로운 빛의 활기,"도시 공원의 중앙 무대나 주요 통로를 따라 설치된 역동적인 패턴 조명과 컬러 스팟라이트가 공간을 다채로운 색상으로 물들이며 활기찬 분위기를 연출합니다. 경쾌한 음악과 함께 다양한 연령대의 사람들이 리듬에 맞춰 움직이거나, 신나게 축제를 즐기는 역동적인 야경을 강조합니다.",ground-level
2024 내나라 여행박람회,은은한 조명 아래 유대감,"공원 내 벤치나 작은 쉼터 주변에 배치된 랜턴, 스트링 라이트, 그리고 따뜻한 색감의 간접 조명들이 부드럽게 빛나며 아늑한 분위기를 조성합니다. 가족 단위 방문객이나 친구들이 삼삼오오 모여 담소를 나누고, 공동체의 따뜻한 유대감을 느끼는 포근하고 서정적인 장면을 묘사합니다.",ground-level
2024 내나라 여행박람회,축제와 휴식의 교차로,"축제 광장의 활기찬 에너지와 빛이 점차 멀어지고, 공원의 외곽이나 좀 더 한적한 공간으로 이어지는 길목에서 따뜻하고 은은한 조명 아래 평화로운 순간들이 교차하는 장면을 연출합니다. 활기찬 축제의 분위기와 함께 고요한 휴식이 공존하는 다층적인 야경을 보여줍니다.",ground-level
2024 대한민국 자전거 대축제 in 공주,도심 속 스피드 레이스,"고층 빌딩 숲을 배경으로, 강렬한 네온사인과 차량 헤드라이트가 어우러져 도시의 밤을 가르는 자전거와 마라토너들의 질주를 강조합니다. 조명은 더욱 화려하고 역동적으로 표현되어, 속도감과 현대적인 에너지가 극대화된 장면을 연출합니다. 관중은 더 밀집되어 열정적으로 응원하는 모습이 부각됩니다.",aerial
2024 대한민국 자전거 대축제 in 공주,강변의 빛나는 물결,"공주의 금강변을 따라 펼쳐지는 축제의 모습으로, 강물에 비치는 LED 불빛과 달빛, 은은한 다리 조명이 어우러져 평화로우면서도 활기찬 분위기를 자아냅니다. 참가자들은 강변을 따라 부드럽게 흘러가는 빛의 물결처럼 보이며, 주변 자연경관과의 조화에 초점을 맞춥니다.",aerial
2024 대한민국 자전거 대축제 in 공주,축제의 뜨거운 함성,"참가자들의 역동적인 움직임보다는, 축제를 즐기는 관중의 열기와 환호에 초점을 맞춥니다. 다양한 색상의 응원봉과 손전등이 밤하늘을 수놓고, 가로등과 부스 조명이 따뜻하고 포근한 분위기를 연출합니다. 참가자들의 모습은 은은한 배경이 되어 축제 전체의 활기찬 에너지와 공동체적인 분위기를 강조합니다.",ground-level
2024 대한민국 한옥문화 비엔날레 IN 영암,미디어 파사드 한옥 융합 (Media Facade Hanok Fusion),"전통 한옥의 아름다운 곡선과 현대적인 미디어 파사드 기술이 결합되어, 한옥 건축물 자체가 다채로운 빛의 캔버스가 되는 야경. 환상적인 조명과 영상이 한옥의 고유한 매력을 현대적으로 재해석하여, 활기차면서도 독특한 시각적 경험을 선사합니다.",ground-level
2024 대한민국 한옥문화 비엔날레 IN 영암,고요한 예술의 밤,"한옥의 빛 (Serene Art Night: Light of Hanok): 푸른 밤하늘 아래, 한옥의 고즈넉한 아름다움이 정교하고 은은한 예술 조명으로 강조되는 야경. 미디어 파사드보다는 조명 자체의 색감과 빛의 연출을 통해 한옥의 건축미와 공공미술 작품이 차분하면서도 영감을 주는 분위기 속에서 깊이 있게 감상될 수 있도록 연출합니다.",ground-level
2024 대한민국 한옥문화 비엔날레 IN 영암,다채로운 문화 교류의 빛 (Light of Diverse Cultural Exchange),"현대 미술 작품과 전통 한옥이 공존하며 다양한 연령대의 방문객들이 예술을 감상하고 소통하는 활기찬 공간. 다채로운 색감의 조명과 인터랙티브한 설치 미술이 어우러져, 전통과 현대가 조화롭게 어우러지는 복합 문화 예술 축제의 역동적인 분위기를 강조합니다.",ground-level
2024 대한민국 해양 모빌리티?안전 엑스포,해양 심층 기술의 밤 (Deep Ocean Tech Night),"첨단 기술의 푸른빛과 보라빛 LED 조명이 현대적인 도시 야경을 수놓는 기본 분위기 위에, 바닷속 깊은 곳의 신비로움과 미지의 해양 기술이 융합된 장면을 연출합니다. 건물 파사드에 물결치는 듯한 미디어 아트가 흐르고, 푸른빛과 에메랄드빛 조명 아래 홀로그램으로 구현된 심해 생물이나 미래형 잠수정들이 유영하는 모습이 강조되어, 미래 해양 탐사의 비전을 제시하는 듯한 몽환적인 분위기.",aerial
2024 대한민국 해양 모빌리티?안전 엑스포,스마트 해양 도시의 미래 (Future of Smart Ocean City),"역동적인 도시 야경과 푸른빛, 보라빛 조명 아래, 해양 모빌리티와 안전 기술이 중심이 되는 실용적이고 혁신적인 장면을 그립니다. 자율 운항 선박의 경로를 시각화하는 인터랙티브 바닥 조명, 해상 안전 시스템을 시연하는 대형 홀로그램 디스플레이, 그리고 고층 빌딩에 투사되는 미래형 스마트 항만 관리 시스템의 모습이 어우러져, 효율적이고 안전한 해양 물류 및 교육 환경의 희망찬 미래를 보여주는 분위기.",aerial
2024 대한민국 해양 모빌리티?안전 엑스포,인터랙티브 미래 교육 허브 (Interactive Future Education Hub),"첨단 기술의 푸른빛과 보라빛 주 조명 아래, 다양한 연령대의 사람들이 직접 참여하고 체험하는 인터랙티브 전시 공간의 활기를 강조합니다. 홀로그램 강연자가 해양 기술의 원리를 설명하고, 대형 터치 스크린에서 해양 안전 시뮬레이션을 체험하는 모습이 다채로운 스포트라이트와 부드러운 주변광으로 밝게 표현됩니다. 참여자들의 활기찬 움직임과 학습의 열기가 느껴지는, 미래 교육의 혁신적이고 희망찬 분위기가 넘쳐나는 장면.",indoor
2024 대한민국무용대상 & 대한민국무용인의 밤,네온 도시의 불꽃 무대,"도시의 네온사인과 빌딩 조명이 더욱 화려하게 폭발하며, 무대 위 스포트라이트와 레이저가 춤추는 이들을 강렬하고 선명한 색감으로 비춥니다. 역동적인 에너지와 미래 지향적인 분위기가 극대화된, 불꽃놀이처럼 터지는 빛의 향연을 표현합니다.",ground-level
2024 대한민국무용대상 & 대한민국무용인의 밤,황혼의 실루엣 교향곡,해질녘 도시의 푸른빛과 붉은빛이 교차하는 마법 같은 황혼의 시간을 배경으로 합니다. 무대 조명은 부드럽지만 깊이 있는 색감을 사용하여 춤추는 이들의 우아하고 섬세한 실루엣을 강조합니다. 고요함 속에서도 느껴지는 무용의 아름다움을 시적으로 표현합니다.,ground-level
