festival_name,category,detailed_category,prohibited_behaviors
경주국악여행 '국악한판',전통문화형,국악 공연 관람 예절,"셀카봉 주의,유튜브 촬영 금지,상업용 촬영 허가,공연 중 촬영 금지,인화성 물질 반입,공연장 냄새나는 음식,공연 중 대화,출입금지 구역 침입,관람 제한 구역,관광지 무단 투기,축제장 분리수거,길거리 음식 쓰레기,공연자 만지기,안내 요원 지시 불이행"
대한민국불교문화엑스포,전통문화형,불교 행사 사진 촬영,"스님 사진 촬영,제사(제례) 사진 촬영,법당 내부 촬영 금지,불상 사진 금지,국보급 문화재 촬영,삼각대 금지 박물관,셀카봉 주의,유튜브 촬영 금지,상업용 촬영 허가,공연 중 촬영 금지,문화 해설 중 녹음,사찰 노출 복장,법당 모자 착용,박물관 큰 가방,인화성 물질 반입,전시장 내부 물,공연장 냄새나는 음식,궁궐 음주,박물관 휴대폰 통화,사찰 법당 휴대폰 벨소리,공연 중 대화,박물관 아이들 소음,전시물 만지기,문화재 기대기,문화재 낙서 처벌,사찰 흡연 구역,법당 눕기,제례 중 이동,전시관 동선 역주행,출입금지 구역 침입,관람 제한 구역,박물관 포토라인,관광지 무단 투기,축제장 분리수거,길거리 음식 쓰레기,전통 찻집 외부 음식,공연자 만지기,문화 해설사 방해,안내 요원 지시 불이행"
동서화합 영·호남 문화예술관광박람회,전통문화형,기타 전통문화,"셀카봉 주의,유튜브 촬영 금지,상업용 촬영 허가,공연 중 촬영 금지,문화 해설 중 녹음,박물관 큰 가방,문화재 자전거 킥보드,인화성 물질 반입,전시장 내부 물,공연장 냄새나는 음식,박물관 휴대폰 통화,공연 중 대화,박물관 아이들 소음,전시물 만지기,문화재 기대기,문화재 낙서 처벌,궁궐 꽃 꺾기,사찰 흡연 구역,전시관 동선 역주행,출입금지 구역 침입,관람 제한 구역,박물관 포토라인,관광지 무단 투기,축제장 분리수거,길거리 음식 쓰레기,공연자 만지기,문화 해설사 방해,안내 요원 지시 불이행"
문화가 있는날 구석구석 문화배달,전통문화형,기타 전통문화,일반적인 관광 예절 준수
문화가 흐르는 서울광장,전통문화형,기타 전통문화,"셀카봉 주의,상업용 촬영 허가,공연 중 촬영 금지,인화성 물질 반입,공연장 냄새나는 음식,공연 중 대화,출입금지 구역 침입,관람 제한 구역,관광지 무단 투기,축제장 분리수거,길거리 음식 쓰레기,공연자 만지기,안내 요원 지시 불이행"
문화공간 어디쉐어  공주 하숙동 1번지  시즌2,전통문화형,한옥마을 주민 사생활,일반적인 관광 예절 준수
서귀포 원도심 문화페스티벌,전통문화형,기타 전통문화,"셀카봉 주의,상업용 촬영 허가,공연 중 촬영 금지,인화성 물질 반입,공연장 냄새나는 음식,공연 중 대화,한옥마을 밤 소음,전시물 만지기,문화재 기대기,한옥 대문 열어보기,출입금지 구역 침입,관람 제한 구역,한옥마을 사유지 침입,관광지 무단 투기,축제장 분리수거,길거리 음식 쓰레기,공연자 만지기,문화 해설사 방해,안내 요원 지시 불이행"
영동세계국악엑스포(2025 Yeongdong World Traditional Music & Arts Expo),전통문화형,국악 공연 관람 예절,"상업용 촬영 허가,드론 촬영 허가 문화재,공연 중 촬영 금지,셀카봉 주의,삼각대 금지 박물관,박물관 큰 가방,인화성 물질 반입,공연장 냄새나는 음식,박물관 휴대폰 통화,공연 중 대화,전시물 만지기,문화재 기대기,전시관 동선 역주행,출입금지 구역 침입,축제장 분리수거,공연자 만지기,안내 요원 지시 불이행"
제17회 서울건축문화제,전통문화형,기타 전통문화,"삼각대 금지 박물관,셀카봉 주의,유튜브 촬영 금지,상업용 촬영 허가,공연 중 촬영 금지,문화 해설 중 녹음,박물관 큰 가방,인화성 물질 반입,전시장 내부 물,공연장 냄새나는 음식,박물관 휴대폰 통화,공연 중 대화,박물관 아이들 소음,전시물 만지기,문화재 기대기,전시관 동선 역주행,출입금지 구역 침입,관람 제한 구역,관광지 무단 투기,축제장 분리수거,문화 해설사 방해,안내 요원 지시 불이행"
제주 반려동물 문화산업 한마당,전통문화형,기타 전통문화,"셀카봉 주의,유튜브 촬영 금지,상업용 촬영 허가,공연 중 촬영 금지,인화성 물질 반입,전시장 내부 물,공연장 냄새나는 음식,공연 중 대화,전시물 만지기,출입금지 구역 침입,관람 제한 구역,관광지 무단 투기,축제장 분리수거,길거리 음식 쓰레기,공연자 만지기,안내 요원 지시 불이행"
청년문화주간  청년문화사용법  네 개의 방,전통문화형,기타 전통문화,"셀카봉 주의,유튜브 촬영 금지,상업용 촬영 허가,공연 중 촬영 금지,문화 해설 중 녹음,박물관 큰 가방,인화성 물질 반입,전시장 내부 물,공연장 냄새나는 음식,박물관 휴대폰 통화,공연 중 대화,박물관 아이들 소음,전시물 만지기,전시관 동선 역주행,출입금지 구역 침입,관람 제한 구역,관광지 무단 투기,축제장 분리수거,길거리 음식 쓰레기,공연자 만지기,문화 해설사 방해,안내 요원 지시 불이행"
한국민속촌 야간개장,전통문화형,기타 전통문화,"한복 무단 촬영,국보급 문화재 촬영,삼각대 금지 박물관,셀카봉 주의,유튜브 촬영 금지,상업용 촬영 허가,드론 촬영 허가 문화재,공연 중 촬영 금지,한복 훼손,궁궐 애완동물 반입,박물관 큰 가방,문화재 자전거 킥보드,궁궐 돗자리,인화성 물질 반입,공연장 냄새나는 음식,궁궐 음주,공연 중 대화,한옥마을 밤 소음,전시물 만지기,문화재 기대기,문화재 낙서 처벌,한옥 대문 열어보기,한옥 문고리 파손,궁궐 꽃 꺾기,사찰 흡연 구역,출입금지 구역 침입,관람 제한 구역,한옥마을 사유지 침입,공사장 위험 구역,관광지 무단 투기,한옥마을 쓰레기 처리,축제장 분리수거,길거리 음식 쓰레기,전통 찻집 외부 음식,공연자 만지기,문화 해설사 방해,궁궐 야생동물 먹이주기,안내 요원 지시 불이행"
한글날 문화행사,전통문화형,기타 전통문화,"""한복 무단 촬영"",""국보급 문화재 촬영"",""삼각대 금지 박물관"",""셀카봉 주의"",""유튜브 촬영 금지"",""상업용 촬영 허가"",""드론 촬영 허가 문화재"",""공연 중 촬영 금지"",""문화 해설 중 녹음"",""한복 훼손"",""박물관 큰 가방"",""문화재 자전거 킥보드"",""인화성 물질 반입"",""전시장 내부 물"",""공연장 냄새나는 음식"",""박물관 휴대폰 통화"",""공연 중 대화"",""박물관 아이들 소음"",""전시물 만지기"",""문화재 기대기"",""문화재 낙서 처벌"",""전시관 동선 역주행"",""출입금지 구역 침입"",""관람 제한 구역"",""박물관 포토라인"",""관광지 무단 투기"",""축제장 분리수거"",""길거리 음식 쓰레기"",""공연자 만지기"",""문화 해설사 방해"",""안내 요원 지시 불이행"""
2025년 완주군 근대역사 문화여행,전통문화형,문화재 만지지 마세요,"국보급 문화재 촬영,삼각대 금지 박물관,셀카봉 주의,상업용 촬영 허가,드론 촬영 허가 문화재,공연 중 촬영 금지,문화 해설 중 녹음,박물관 큰 가방,문화재 자전거 킥보드,인화성 물질 반입,전시장 내부 물,공연장 냄새나는 음식,박물관 휴대폰 통화,공연 중 대화,박물관 아이들 소음,전시물 만지기,문화재 기대기,문화재 낙서 처벌,전시관 동선 역주행,출입금지 구역 침입,관람 제한 구역,박물관 포토라인,공사장 위험 구역,관광지 무단 투기,축제장 분리수거,길거리 음식 쓰레기,공연자 만지기,문화 해설사 방해,안내 요원 지시 불이행"
4·19혁명국민문화제,전통문화형,기타 전통문화,"제사(제례) 사진 촬영,셀카봉 주의,상업용 촬영 허가,드론 촬영 허가 문화재,공연 중 촬영 금지,인화성 물질 반입,공연장 냄새나는 음식,공연 중 대화,문화재 기대기,문화재 낙서 처벌,사찰 흡연 구역,제례 중 이동,출입금지 구역 침입,축제장 분리수거,길거리 음식 쓰레기,공연자 만지기,안내 요원 지시 불이행"
가야문화축제,전통문화형,고분군 방문 예절,"제사(제례) 사진 촬영,한복 무단 촬영,국보급 문화재 촬영,삼각대 금지 박물관,셀카봉 주의,상업용 촬영 허가,드론 촬영 허가 문화재,공연 중 촬영 금지,문화 해설 중 녹음,한복 훼손,궁궐 애완동물 반입,박물관 큰 가방,문화재 자전거 킥보드,궁궐 돗자리,인화성 물질 반입,전시장 내부 물,공연장 냄새나는 음식,궁궐 음주,박물관 휴대폰 통화,공연 중 대화,한옥마을 밤 소음,박물관 아이들 소음,전시물 만지기,문화재 기대기,문화재 낙서 처벌,궁궐 꽃 꺾기,사찰 흡연 구역,제례 중 이동,전시관 동선 역주행,출입금지 구역 침입,관람 제한 구역,박물관 포토라인,왕릉 능침 올라가기,한옥마을 사유지 침입,공사장 위험 구역,관광지 무단 투기,한옥마을 쓰레기 처리,축제장 분리수거,길거리 음식 쓰레기,전통 찻집 외부 음식,공연자 만지기,수문장 교대식 방해,문화 해설사 방해,궁궐 야생동물 먹이주기,안내 요원 지시 불이행"
가평군 반려동물 문화행사 활짝펫,전통문화형,기타 전통문화,"셀카봉 주의,상업용 촬영 허가,공연 중 촬영 금지,문화 해설 중 녹음,인화성 물질 반입,공연장 냄새나는 음식,공연 중 대화,사찰 흡연 구역,전시관 동선 역주행,출입금지 구역 침입,관람 제한 구역,관광지 무단 투기,축제장 분리수거,길거리 음식 쓰레기,공연자 만지기,문화 해설사 방해,안내 요원 지시 불이행"
강동선사문화축제,전통문화형,고분군 방문 예절,"국보급 문화재 촬영,삼각대 금지 박물관,셀카봉 주의,상업용 촬영 허가,드론 촬영 허가 문화재,공연 중 촬영 금지,문화 해설 중 녹음,박물관 큰 가방,문화재 자전거 킥보드,인화성 물질 반입,전시장 내부 물,공연장 냄새나는 음식,공연 중 대화,박물관 아이들 소음,전시물 만지기,문화재 기대기,문화재 낙서 처벌,사찰 흡연 구역,전시관 동선 역주행,출입금지 구역 침입,관람 제한 구역,박물관 포토라인,관광지 무단 투기,축제장 분리수거,길거리 음식 쓰레기,공연자 만지기,문화 해설사 방해,궁궐 야생동물 먹이주기,안내 요원 지시 불이행"
강릉시 반려동물문화축제,전통문화형,기타 전통문화,"셀카봉 주의,상업용 촬영 허가,드론 촬영 허가 문화재,공연 중 촬영 금지,문화재 자전거 킥보드,궁궐 돗자리,인화성 물질 반입,공연장 냄새나는 음식,궁궐 음주,공연 중 대화,궁궐 꽃 꺾기,사찰 흡연 구역,전시관 동선 역주행,출입금지 구역 침입,관람 제한 구역,공사장 위험 구역,관광지 무단 투기,축제장 분리수거,길거리 음식 쓰레기,공연자 만지기,안내 요원 지시 불이행"
강북 공예문화축제,전통문화형,전통 공방 체험 주의사항,"셀카봉 주의,상업용 촬영 허가,공연 중 촬영 금지,박물관 큰 가방,문화재 자전거 킥보드,인화성 물질 반입,전시장 내부 물,공연장 냄새나는 음식,공연 중 대화,전시물 만지기,사찰 흡연 구역,전시관 동선 역주행,출입금지 구역 침입,관람 제한 구역,관광지 무단 투기,축제장 분리수거,길거리 음식 쓰레기,공연자 만지기,안내 요원 지시 불이행"
강서구 다문화축제,전통문화형,기타 전통문화,"한복 무단 촬영,셀카봉 주의,상업용 촬영 허가,공연 중 촬영 금지,인화성 물질 반입,전시장 내부 물,공연장 냄새나는 음식,공연 중 대화,전시물 만지기,출입금지 구역 침입,관광지 무단 투기,축제장 분리수거,길거리 음식 쓰레기,공연자 만지기,안내 요원 지시 불이행"
강천섬 힐링 문화축제,전통문화형,기타 전통문화,"셀카봉 주의,상업용 촬영 허가,공연 중 촬영 금지,문화재 자전거 킥보드,인화성 물질 반입,공연장 냄새나는 음식,공연 중 대화,궁궐 꽃 꺾기,사찰 흡연 구역,출입금지 구역 침입,관람 제한 구역,관광지 무단 투기,축제장 분리수거,길거리 음식 쓰레기,공연자 만지기,궁궐 야생동물 먹이주기,안내 요원 지시 불이행"
게임문화축제,전통문화형,기타 전통문화,"셀카봉 주의,유튜브 촬영 금지,상업용 촬영 허가,공연 중 촬영 금지,박물관 큰 가방,인화성 물질 반입,전시장 내부 물,공연장 냄새나는 음식,박물관 휴대폰 통화,공연 중 대화,전시물 만지기,전시관 동선 역주행,출입금지 구역 침입,관람 제한 구역,축제장 분리수거,길거리 음식 쓰레기,공연자 만지기,안내 요원 지시 불이행"
겸재문화예술제,전통문화형,전통 공방 체험 주의사항,"셀카봉 주의,상업용 촬영 허가,공연 중 촬영 금지,인화성 물질 반입,전시장 내부 물,공연장 냄새나는 음식,궁궐 음주,공연 중 대화,전시물 만지기,사찰 흡연 구역,전시관 동선 역주행,출입금지 구역 침입,관람 제한 구역,관광지 무단 투기,축제장 분리수거,길거리 음식 쓰레기,공연자 만지기,궁궐 야생동물 먹이주기,안내 요원 지시 불이행"
경기도 문화사계  여름  경기바다 드론쇼,전통문화형,기타 전통문화,"셀카봉 주의, 상업용 촬영 허가, 공연 중 촬영 금지, 인화성 물질 반입, 공연장 냄새나는 음식, 공연 중 대화, 출입금지 구역 침입, 관람 제한 구역, 관광지 무단 투기, 축제장 분리수거, 길거리 음식 쓰레기, 안내 요원 지시 불이행"
계양 문화유산 야행,전통문화형,향교 서원 예절,"제사(제례) 사진 촬영,한복 무단 촬영,국보급 문화재 촬영,셀카봉 주의,상업용 촬영 허가,드론 촬영 허가 문화재,공연 중 촬영 금지,문화 해설 중 녹음,궁궐 애완동물 반입,문화재 자전거 킥보드,인화성 물질 반입,공연장 냄새나는 음식,궁궐 음주,공연 중 대화,한옥마을 밤 소음,전시물 만지기,문화재 기대기,문화재 낙서 처벌,궁궐 꽃 꺾기,사찰 흡연 구역,제례 중 이동,출입금지 구역 침입,관람 제한 구역,관광지 무단 투기,축제장 분리수거,길거리 음식 쓰레기,공연자 만지기,문화 해설사 방해,안내 요원 지시 불이행"
고마로馬문화축제,전통문화형,전통 공방 체험 주의사항,"셀카봉 주의,상업용 촬영 허가,드론 촬영 허가 문화재,공연 중 촬영 금지,문화재 자전거 킥보드,인화성 물질 반입,공연 중 대화,사찰 흡연 구역,출입금지 구역 침입,관람 제한 구역,관광지 무단 투기,축제장 분리수거,길거리 음식 쓰레기,공연자 만지기,안내 요원 지시 불이행"
고양 동물교감치유 문화제,전통문화형,기타 전통문화,"셀카봉 주의,상업용 촬영 허가,드론 촬영 허가 문화재,공연 중 촬영 금지,인화성 물질 반입,공연장 냄새나는 음식,전시물 만지기,사찰 흡연 구역,전시관 동선 역주행,출입금지 구역 침입,관람 제한 구역,관광지 무단 투기,축제장 분리수거,길거리 음식 쓰레기,공연자 만지기,문화 해설사 방해,안내 요원 지시 불이행"
고양행주문화제,전통문화형,문화재 만지지 마세요,"제사(제례) 사진 촬영,한복 무단 촬영,국보급 문화재 촬영,셀카봉 주의,상업용 촬영 허가,드론 촬영 허가 문화재,공연 중 촬영 금지,문화 해설 중 녹음,한복 훼손,궁궐 애완동물 반입,문화재 자전거 킥보드,인화성 물질 반입,공연장 냄새나는 음식,궁궐 음주,공연 중 대화,전시물 만지기,문화재 기대기,문화재 낙서 처벌,궁궐 꽃 꺾기,사찰 흡연 구역,제례 중 이동,출입금지 구역 침입,공사장 위험 구역,관광지 무단 투기,축제장 분리수거,길거리 음식 쓰레기,공연자 만지기,문화 해설사 방해,궁궐 야생동물 먹이주기,안내 요원 지시 불이행"
광주시 남한산성문화제,전통문화형,문화재 만지지 마세요,"제사(제례) 사진 촬영,한복 무단 촬영,법당 내부 촬영 금지,불상 사진 금지,국보급 문화재 촬영,삼각대 금지 박물관,셀카봉 주의,상업용 촬영 허가,드론 촬영 허가 문화재,공연 중 촬영 금지,문화 해설 중 녹음,사찰 노출 복장,법당 모자 착용,법당 신발 착용,궁궐 애완동물 반입,박물관 큰 가방,문화재 자전거 킥보드,궁궐 돗자리,인화성 물질 반입,전시장 내부 물,공연장 냄새나는 음식,궁궐 음주,박물관 휴대폰 통화,사찰 법당 휴대폰 벨소리,공연 중 대화,박물관 아이들 소음,전시물 만지기,문화재 기대기,문화재 낙서 처벌,궁궐 꽃 꺾기,사찰 흡연 구역,제례 중 이동,전시관 동선 역주행,출입금지 구역 침입,관람 제한 구역,사찰 스님 거주 공간,공사장 위험 구역,관광지 무단 투기,축제장 분리수거,길거리 음식 쓰레기,공연자 만지기,수문장 교대식 방해,문화 해설사 방해,궁궐 야생동물 먹이주기,안내 요원 지시 불이행"
광주왕실도자페스티벌,전통문화형,전통 공방 체험 주의사항,"국보급 문화재 촬영,삼각대 금지 박물관,셀카봉 주의,상업용 촬영 허가,드론 촬영 허가 문화재,공연 중 촬영 금지,문화 해설 중 녹음,한복 훼손,박물관 큰 가방,문화재 자전거 킥보드,인화성 물질 반입,전시장 내부 물,공연장 냄새나는 음식,박물관 휴대폰 통화,공연 중 대화,박물관 아이들 소음,전시물 만지기,문화재 기대기,문화재 낙서 처벌,전시관 동선 역주행,출입금지 구역 침입,관람 제한 구역,박물관 포토라인,공사장 위험 구역,관광지 무단 투기,축제장 분리수거,길거리 음식 쓰레기,공연자 만지기,문화 해설사 방해,안내 요원 지시 불이행"
광진 생활문화예술축제,전통문화형,기타 전통문화,"셀카봉 주의,상업용 촬영 허가,공연 중 촬영 금지,박물관 큰 가방,인화성 물질 반입,전시장 내부 물,공연장 냄새나는 음식,공연 중 대화,박물관 아이들 소음,전시물 만지기,전시관 동선 역주행,출입금지 구역 침입,관람 제한 구역,관광지 무단 투기,축제장 분리수거,길거리 음식 쓰레기,공연자 만지기,문화 해설사 방해,안내 요원 지시 불이행"
국립농업박물관 문화제,전통문화형,박물관 관람 예절,"국보급 문화재 촬영,삼각대 금지 박물관,셀카봉 주의,유튜브 촬영 금지,상업용 촬영 허가,드론 촬영 허가 문화재,공연 중 촬영 금지,문화 해설 중 녹음,박물관 큰 가방,문화재 자전거 킥보드,인화성 물질 반입,전시장 내부 물,공연장 냄새나는 음식,박물관 휴대폰 통화,공연 중 대화,박물관 아이들 소음,전시물 만지기,문화재 기대기,문화재 낙서 처벌,전시관 동선 역주행,출입금지 구역 침입,관람 제한 구역,박물관 포토라인,관광지 무단 투기,축제장 분리수거,길거리 음식 쓰레기,공연자 만지기,문화 해설사 방해,안내 요원 지시 불이행"
군위 사랑과 나눔 문화축전,전통문화형,기독교 순교 성지 방문,"셀카봉 주의,상업용 촬영 허가,공연 중 촬영 금지,인화성 물질 반입,공연장 냄새나는 음식,공연 중 대화,박물관 아이들 소음,출입금지 구역 침입,관람 제한 구역,관광지 무단 투기,축제장 분리수거,길거리 음식 쓰레기,공연자 만지기,안내 요원 지시 불이행"
궁중문화축전,전통문화형,궁궐 전각 내부,"제사(제례) 사진 촬영,한복 무단 촬영,국보급 문화재 촬영,삼각대 금지 박물관,셀카봉 주의,유튜브 촬영 금지,상업용 촬영 허가,드론 촬영 허가 문화재,공연 중 촬영 금지,문화 해설 중 녹음,한복 훼손,궁궐 애완동물 반입,박물관 큰 가방,문화재 자전거 킥보드,궁궐 돗자리,인화성 물질 반입,전시장 내부 물,공연장 냄새나는 음식,궁궐 음주,박물관 휴대폰 통화,공연 중 대화,박물관 아이들 소음,전시물 만지기,문화재 기대기,문화재 낙서 처벌,궁궐 꽃 꺾기,제례 중 이동,전시관 동선 역주행,출입금지 구역 침입,관람 제한 구역,박물관 포토라인,왕릉 능침 올라가기,공사장 위험 구역,관광지 무단 투기,축제장 분리수거,길거리 음식 쓰레기,전통 찻집 외부 음식,공연자 만지기,수문장 교대식 방해,문화 해설사 방해,궁궐 야생동물 먹이주기,안내 요원 지시 불이행"
근대역사문화축제,전통문화형,박물관 관람 예절,"한복 무단 촬영,국보급 문화재 촬영,삼각대 금지 박물관,셀카봉 주의,상업용 촬영 허가,드론 촬영 허가 문화재,공연 중 촬영 금지,문화 해설 중 녹음,한복 훼손,박물관 큰 가방,문화재 자전거 킥보드,인화성 물질 반입,전시장 내부 물,공연장 냄새나는 음식,박물관 휴대폰 통화,공연 중 대화,박물관 아이들 소음,전시물 만지기,문화재 기대기,문화재 낙서 처벌,전시관 동선 역주행,출입금지 구역 침입,관람 제한 구역,박물관 포토라인,공사장 위험 구역,관광지 무단 투기,축제장 분리수거,길거리 음식 쓰레기,전통 찻집 외부 음식,공연자 만지기,문화 해설사 방해,안내 요원 지시 불이행"
글로컬 문화 in 남산 페스티벌,전통문화형,기타 전통문화,"셀카봉 주의,상업용 촬영 허가,공연 중 촬영 금지,인화성 물질 반입,공연장 냄새나는 음식,공연 중 대화,전시물 만지기,전시관 동선 역주행,출입금지 구역 침입,관람 제한 구역,관광지 무단 투기,축제장 분리수거,길거리 음식 쓰레기,공연자 만지기,안내 요원 지시 불이행"
기장군반려동물문화축제,전통문화형,기타 전통문화,"셀카봉 주의,상업용 촬영 허가,공연 중 촬영 금지,인화성 물질 반입,공연장 냄새나는 음식,공연 중 대화,전시물 만지기,전시관 동선 역주행,출입금지 구역 침입,관람 제한 구역,공사장 위험 구역,관광지 무단 투기,축제장 분리수거,길거리 음식 쓰레기,공연자 만지기,문화 해설사 방해,안내 요원 지시 불이행"
김포 해병대 문화축제,전통문화형,기타 전통문화,"셀카봉 주의,상업용 촬영 허가,드론 촬영 허가 문화재,공연 중 촬영 금지,문화 해설 중 녹음,박물관 큰 가방,문화재 자전거 킥보드,인화성 물질 반입,전시장 내부 물,공연장 냄새나는 음식,공연 중 대화,박물관 아이들 소음,전시물 만지기,문화재 낙서 처벌,사찰 흡연 구역,제례 중 이동,전시관 동선 역주행,출입금지 구역 침입,관람 제한 구역,박물관 포토라인,공사장 위험 구역,관광지 무단 투기,축제장 분리수거,길거리 음식 쓰레기,공연자 만지기,수문장 교대식 방해,문화 해설사 방해,안내 요원 지시 불이행"
